"Year","qTot","X2","qOut","deltaTemp","secchi","chl","microzooplankton","mesozooplankton","sst","upwelling"
1980,0.632600675935058,-0.737714892551926,0.663726827471548,1.74099030364907,-1.16181663345343,1.3800398002474,-0.603523161523698,1.85263974360698,0.215951122932634,0.278125598522169
1981,-0.669401299726681,0.549815824361856,-0.678336679211151,0.388320228266683,-0.440495494959543,0.928088629133797,-0.57691515241142,0.935988594970168,-0.595094409435665,0.773840388872692
1982,1.44967209284544,-1.54788056456968,1.5201241880482,0.454180298029196,-0.787556155976907,1.55366711328184,-0.978266349582142,-0.0911891034065314,-0.253614765564256,-0.993639242928875
1983,2.9779749733378,-2.55560711291597,3.07438010370073,-1.08056998947375,-1.49999198698024,0.600370037070031,-0.978781611457309,0.048958596779016,1.62694493139414,-1.86712289075344
1984,0.764108029143257,-1.19666053833945,0.828482415388184,1.4053728760615,-0.424613058903906,0.860749794624749,-0.918083751982603,0.611109391552731,0.720610304328708,0.428549396973339
1985,-0.582980346959365,0.400242831815646,-0.642873147259011,-0.0327857411020536,0.554519135048979,1.53550212597181,-0.67184861429005,1.41953176036093,-0.728605448423244,-0.568008267765828
1986,0.766903349596232,-0.126837409464664,0.770624332294712,0.294872769855851,0.279395046880529,2.35534259811952,-0.670086700305513,1.16903603997242,-0.212558260109167,-1.06030433542429
1987,-0.761396378332908,0.831653553455982,-0.799864478449644,1.05365017455221,-0.61305724205896,-1.09190083885404,-0.852511887542128,-0.550059255256591,0.803335109972365,-0.783387797366406
1988,-0.838774051337963,1.57796359600939,-0.911787593883322,1.51092182501615,-1.04863235167971,-1.12149278252013,-1.1033456635338,-2.11476784146812,-0.0780025164040967,-0.65176697372161
1989,-0.672020291619605,1.29194414218535,-0.766146714302975,1.04183094882042,-1.18416021825798,-0.423971632804714,-1.17816802316109,-0.915078061146721,-0.681068785436396,-0.294510452400018
1990,-0.84689034615748,1.55588728013856,-0.94311564288705,1.64373781158989,-0.652589616831912,-0.78490459630598,-1.11661511858203,-1.07173838597165,-0.735536347344563,-1.37995490713309
1991,-1.0095794218502,1.67042705865833,-0.915145079407094,-1.35865447271849,-0.997195008475978,0.421982508639847,-1.24295786798154,-1.49826246224272,-1.36610784021343,-0.304766620476236
1992,-0.972983367280355,1.3315118314114,-0.861114628352665,0.396972317186828,-0.250706041233255,1.4213721039797,-1.22782814915964,0.0659634481329174,1.49309230476897,-1.47567914251112
1993,0.0326355158373985,-0.368933901216761,0.0652245829134276,-0.140748717350925,-0.905218612014157,-0.00722433635053506,-1.17860791608562,0.226205728743109,0.987703512781486,-1.27910258771695
1994,-0.841563039747135,0.78017174812989,-0.804487344459849,-0.286153500987745,-0.451071818031771,-0.898214588524736,-0.868740117108849,-1.68235975082489,0.278446410912559,-0.212461107790274
1995,1.55785124879903,-1.17812213739031,1.57940268028813,-2.19845731517662,-0.939315427082279,-0.793111530248326,-0.811645755333421,-0.10755306569441,0.349159139522815,-1.57995018461934
1996,0.502335706832901,-0.938627554002735,0.489117343864811,-0.235232612291404,-0.572547894831115,-1.76113202691776,-0.799104360780649,-0.976895955299096,0.126932645871826,-0.243229612018928
1997,1.08852889989846,-0.654115969503909,1.08264831869947,0.101531384471251,-0.883230037835572,-0.337732342019411,-0.580175174338477,-1.18614782086404,0.252190155732497,0.240519648909356
1998,1.60521995606655,-1.50923732595956,1.65658090232784,-1.18687478544903,-1.21716261966759,1.22475881625642,0.856054641759846,-0.396921078540798,2.58458484710632,-0.807318856210918
1999,0.304191531692314,-0.946151711618531,0.299402187847704,-2.07775941372468,-1.2594892093881,-0.115238440863504,-0.102546288320908,0.21144036155707,-1.34096020118968,1.93107802013928
2000,0.0929020249841103,-0.184247210651252,0.00471026772314124,-1.17480929066477,-0.352427120947456,-0.317867022649743,-0.0700866663328924,0.248280453687546,-0.77239953101655,-0.133830485872601
2001,-0.714261092100287,0.680841411956483,-0.738202681847433,-1.4133683686494,-0.573985278282288,0.327973242929397,0.104393668013038,0.563330726336885,-0.977421620692429,1.22169306153423
2002,-0.536553993380273,0.349561469407377,-0.590598713469231,0.516388366174364,-0.791781943212976,1.01278233377824,0.285774135831829,-0.539614440387232,-0.849043747331671,1.20801817076591
2003,-0.162082551290563,-0.128048012541594,-0.265782813442548,0.161928181401232,-0.0146403086885445,1.46041616154828,0.223786106599792,0.0598160472718212,0.185795848974347,0.331115800249268
2004,-0.116531395414972,-0.00204967909811913,-0.210058007052789,0.575608979762964,-0.281230190594341,0.0638508390375574,0.128061856684768,-0.560889585192757,-0.652993669478509,-1.20389068849134
2005,-0.089789810582408,-0.361872915792691,-0.174970944732699,-0.470850695922096,0.378595249634893,-1.07804404666499,-0.173555732525683,-1.23484342184521,0.436310286246755,-0.569717629111866
2006,1.63638567060741,-1.19356530768757,1.56300954308864,-0.779248682905046,0.162580508956446,0.151083191699187,0.332568106502731,1.04413500776028,-0.062343079498042,-0.118446233758274
2007,-0.700405839473038,0.66560443834605,-0.789499691578579,-1.01891320475301,0.13179153555311,0.059239537082525,0.164313522194141,1.29989083565341,-0.620485718156542,0.760165498104415
2008,-0.812046811314053,0.77483576532182,-0.755021562178577,-0.471226688231013,0.309776122948935,0.955572612049886,0.497882826303697,0.477213056578162,-1.47868995022777,0.445643010433716
2009,-0.811320369444999,0.738405256448483,-0.746988806768293,-0.148689197978261,1.18659634349188,-0.209649832829494,0.29240015490988,-0.307333157771194,-1.10423814615615,-0.636382721607283
